Date,SnP500
1990-01-02,353.3999938964844
1990-01-03,359.69000244140625
1990-01-04,358.760009765625
1990-01-05,355.6700134277344
1990-01-08,352.20001220703125
1990-01-09,353.8299865722656
1990-01-10,349.6199951171875
1990-01-11,347.30999755859375
1990-01-12,348.5299987792969
1990-01-15,339.92999267578125
1990-01-16,337.0
1990-01-17,340.7699890136719
1990-01-18,337.3999938964844
1990-01-19,338.19000244140625
1990-01-22,339.1400146484375
1990-01-23,330.3800048828125
1990-01-24,331.6099853515625
1990-01-25,330.260009765625
1990-01-26,326.0899963378906
1990-01-29,325.79998779296875
1990-01-30,325.20001220703125
1990-01-31,322.9800109863281
1990-02-01,329.0799865722656
1990-02-02,328.7900085449219
1990-02-05,330.9200134277344
1990-02-06,331.8500061035156
1990-02-07,329.6600036621094
1990-02-08,333.75
1990-02-09,333.0199890136719
1990-02-12,333.6199951171875
1990-02-13,330.0799865722656
1990-02-14,331.0199890136719
1990-02-15,332.010009765625
1990-02-16,334.8900146484375
1990-02-20,332.7200012207031
1990-02-21,327.9100036621094
1990-02-22,327.6700134277344
1990-02-23,325.70001220703125
1990-02-26,324.1600036621094
1990-02-27,328.67999267578125
1990-02-28,330.260009765625
1990-03-01,331.8900146484375
1990-03-02,332.739990234375
1990-03-05,335.5400085449219
1990-03-06,333.739990234375
1990-03-07,337.92999267578125
1990-03-08,336.95001220703125
1990-03-09,340.1199951171875
1990-03-12,337.92999267578125
1990-03-13,338.6700134277344
1990-03-14,336.0
1990-03-15,336.8699951171875
1990-03-16,338.07000732421875
1990-03-19,341.9100036621094
1990-03-20,343.5299987792969
1990-03-21,341.57000732421875
1990-03-22,339.739990234375
1990-03-23,335.69000244140625
1990-03-26,337.2200012207031
1990-03-27,337.6300048828125
1990-03-28,341.5
1990-03-29,342.0
1990-03-30,340.7900085449219
1990-04-02,339.94000244140625
1990-04-03,338.70001220703125
1990-04-04,343.6400146484375
1990-04-05,341.0899963378906
1990-04-06,340.7300109863281
1990-04-09,340.0799865722656
1990-04-10,341.3699951171875
1990-04-11,342.07000732421875
1990-04-12,341.9200134277344
1990-04-16,344.3399963378906
1990-04-17,344.739990234375
1990-04-18,344.67999267578125
1990-04-19,340.7200012207031
1990-04-20,338.0899963378906
1990-04-23,335.1199951171875
1990-04-24,331.04998779296875
1990-04-25,330.3599853515625
1990-04-26,332.0299987792969
1990-04-27,332.9200134277344
1990-04-30,329.1099853515625
1990-05-01,330.79998779296875
1990-05-02,332.25
1990-05-03,334.4800109863281
1990-05-04,335.5799865722656
1990-05-07,338.3900146484375
1990-05-08,340.5299987792969
1990-05-09,342.010009765625
1990-05-10,342.8699951171875
1990-05-11,343.82000732421875
1990-05-14,352.0
1990-05-15,354.75
1990-05-16,354.2699890136719
1990-05-17,354.0
1990-05-18,354.4700012207031
1990-05-21,354.6400146484375
1990-05-22,358.0
1990-05-23,358.42999267578125
1990-05-24,359.2900085449219
1990-05-25,358.4100036621094
1990-05-29,354.5799865722656
1990-05-30,360.6499938964844
1990-05-31,360.8599853515625
1990-06-01,361.260009765625
1990-06-04,363.1600036621094
1990-06-05,367.3999938964844
1990-06-06,366.6400146484375
1990-06-07,365.9200134277344
1990-06-08,363.1499938964844
1990-06-11,358.7099914550781
1990-06-12,361.6300048828125
1990-06-13,366.25
1990-06-14,364.8999938964844
1990-06-15,362.8900146484375
1990-06-18,362.9100036621094
1990-06-19,356.8800048828125
1990-06-20,358.4700012207031
1990-06-21,359.1000061035156
1990-06-22,360.5199890136719
1990-06-25,355.4200134277344
1990-06-26,352.32000732421875
1990-06-27,352.05999755859375
1990-06-28,355.1600036621094
1990-06-29,357.6400146484375
1990-07-02,358.0199890136719
1990-07-03,359.5400085449219
1990-07-05,360.1600036621094
1990-07-06,355.69000244140625
1990-07-09,358.4200134277344
1990-07-10,359.5199890136719
1990-07-11,356.489990234375
1990-07-12,361.2300109863281
1990-07-13,365.45001220703125
1990-07-16,367.30999755859375
1990-07-17,368.95001220703125
1990-07-18,367.5199890136719
1990-07-19,364.2200012207031
1990-07-20,365.32000732421875
1990-07-23,361.6099853515625
1990-07-24,355.30999755859375
1990-07-25,355.7900085449219
1990-07-26,357.0899963378906
1990-07-27,355.8999938964844
1990-07-30,353.44000244140625
1990-07-31,355.54998779296875
1990-08-01,356.1499938964844
1990-08-02,355.5199890136719
1990-08-03,351.4800109863281
1990-08-06,344.8599853515625
1990-08-07,334.42999267578125
1990-08-08,334.8299865722656
1990-08-09,338.3500061035156
1990-08-10,339.8999938964844
1990-08-13,335.3900146484375
1990-08-14,338.8399963378906
1990-08-15,339.3900146484375
1990-08-16,340.05999755859375
1990-08-17,332.3599853515625
1990-08-20,327.8299865722656
1990-08-21,328.510009765625
1990-08-22,321.8599853515625
1990-08-23,316.54998779296875
1990-08-24,307.05999755859375
1990-08-27,311.54998779296875
1990-08-28,321.44000244140625
1990-08-29,321.3399963378906
1990-08-30,324.19000244140625
